Column 1,Item,Net Weight/Volume,Price (Peso),Price ($),Allergens,Nutritional Facts,Ingredients
1,555_FRIED_SARDINES_ESCABECHE_155G,155g,39,0.69,,,
2,555_FRIED_SARDINES_TAUSI_155G,155g,37,0.65,,,
3,555_HOT_SARDINES_IN_TOMATO_SAUCE,155g,29,0.51,,,
4,555_TUNA_AFRITADA_155G,155g,34,0.6,,,
5,555_TUNA_CALDERETA_155G,155g,34,0.6,,,
6,555_TUNA_FLAKES_IN_OIL_155G,155g,27,0.47,,,
7,555_TUNA_HOT&SPICY_155G,155g,36,0.63,,,
8,ABSOLUTE_PURE_500ML,500ml,21,0.37,,,
9,AJINOMOTO_SOUP&GO_CREAMY_CORN_3x19.2G,57.6g,85,1.5,,,
10,AJINOMOTO_SOUP&GO_CREAMY_POTATO_3x19.2G,57.6g,85,1.5,,,
11,AJINOMOTO_SOUP&GO_CREAMY_PUMPKIN_3x19.2G,57.6g,85,1.5,,,
12,ARGENTINA_CORNED_BEEF_175G,175g,45,0.79,,,
13,ARGENTINA_FIESTA_SAUSAGE_175G,175g,30,0.53,,,
14,ARGENTINA_LIVER_SPREAD_85G,85g,29,0.51,,,
15,ARGENTINA_MEAT_LOAF_100G,100g,22,0.39,,,
16,ARGENTINA_MEATLOAF_170G,170g,27,0.47,,,
17,BAUER_FRUFRU_150G,150g,55,0.97,,,
18,BINGO_CORNED_BEEF_150G,150g,21,0.37,,,
19,BISSIN_BLACKCURRANTWAFERS_PREMIUM_100G,100g,60,1.06,,,
20,BONGGA_CARNE_NORTE_150G,150g,23,0.4,,,
21,BOY_BAWANG_CORNICK_CHILI_CHEESE_FLAVOR_80G,80g,21,0.37,,,
22,CDO_BEEF_LOAF_150G,150g,22,0.39,,,
23,CDO_HOME_STYLE_CORNED_BEEF_150G,150g,38,0.67,,,
24,CDO_KARNE_NORTE_CLASSIC_100G,100g,25,0.44,,,
25,CDO_KARNE_NORTE_CLASSIC_150G,150g,35,0.62,,,
26,CDO_MEAT_LOAF_100G,100g,26,0.46,,,
27,CENTURY_TUNA_FLAKES_IN_BRINE_155G,155g,53,0.93,,,
28,CENTURY_TUNA_FLAKES_IN_OIL_155G,155g,44,0.77,,,
29,CENTURY_TUNA_HOT_AND_SPICY_155G,155g,43,0.76,,,
30,CENTURY_TUNA_WITH_CALAMANSI_155G,155g,37,0.65,,,
31,CERES_APPLE_1L,1L,160,2.81,,,
32,CHAMPOLA_CHOCOLATE_BELGE_30G,30g,30,0.53,,,
33,CHAN_YEE_JAI_ORIGINAL ALMOND_JUICE_375ML,375ml,839,14.76,,,
34,CHIPSY_CHEESE_RING_CHEESE_FLAVORED_SNACK_60G,60g,55,0.97,,,
35,CHIPSY_NACHO_CRISPIES_BBQ_70G,70g,32,0.56,,,
36,CHIPSY_NACHO_CRISPIES_CHEESE_70G,70g,32,0.56,,,
37,CHIPSY_POTATO_CHIPS_SPICY_BBQ_25G,25g,99,1.74,,,
38,CIMORY_YOGURT_ORIGINAL_100G,100g,57,1,,,
39,COBRA_ENERGY_DRINK_350ML,350ml,22.5,0.4,,,
40,COBRA_ENERGY_DRINK_BERRY_BLAST_350ML,350ml,22.5,0.4,,,
41,COBRA_ENERGY_DRINK_PLUS_SMART_350ML,350ml,23.5,0.41,,,
42,COCACOLA_REGULAR_500ML,500ml,36,0.63,,,
43,COCACOLA_LIGHT_500ML,500ml,36,0.63,,,
44,COCACOLA_ORIGINAL_TASTE_290ML,290ml,20,0.35,,,
45,COCACOLA_ZERO_SUGAR_500ML,500ml,20,0.35,,,
46,COWHEAD_PURE_MILK_1L,1L,102,1.79,,,
47,CRISS_CROSS_CHEESY_SOUR_CREAM_AND_ONION_20G,20g,6,0.11,,,
48,CRISS_CROSS_CREAMY_CHEESE_20G,20g,6,0.11,,,
49,CRISS_CROSS_SWEET_CORN_20G,20g,6,0.11,,,
50,CRISS_CROSS_SWEET_PEPPER_STEAK_20G,20g,6,0.11,,,
51,DELFI_KNICK_KNACKS_50G,50g,20,0.35,,,
52,DELMONTE_FIBER_ENRICHED_220ML,220ml,43,0.76,,,
53,DELMONTE_FOUR_SEASONS_220ML,220ml,41,0.72,,,
54,DELMONTE_MANGO_220ML,220ml,41,0.72,,,
55,DELMONTE_PINEAPPLE_ORANGE_220ML,220ml,40,0.7,,,
56,DELMONTE_PINEAPPLEDRINK_HEARTSMART_220ML,220ml,42,0.74,,,
57,DINGDONG_MIXED_NUTS_100G,100g,30,0.53,,,
58,DINGDONG_SNACK_MIX_100G,100g,30,0.53,,,
59,DINGDONG_SNACK_MIX_SWEET_&_SPICY_100G,100g,30,0.53,,,
60,DOLE_PINEAPPLE_240ML,240ml,32,0.56,,,
61,DOLE_PINEAPPLE_UNSWEETENED_240ML,240ml,36,0.63,,,
62,DSFAPS_DANISA_BUTTERCOOKIES_454G,454g,366,6.44,,,
63,DUTCHMILL_DELIGHT_ORIGINAL_100ML,100ml,11.52,0.2,,,
64,DUTCHMILL_DELIGHT_ORIGINAL_400ML,400ml,57.4,1.01,,,
65,DUTCHMILL_MIXED_BERRIES_180ML,180ml,19.3125,0.34,,,
66,DUTCHMILL_PROYO_STRAWBERRY_400ML,400ml,,0,,,
67,EDEN_MELT_SARAP_CHEESE_160G,160g,,0,,,
68,EDEN_ORIGINAL_CHEESE_160G,160g,,0,,,
69,EL_RANCHO_BEEF_LOAF_155G,155g,,0,,,
70,FIBISCO_CHOCOCRUNCHIES_ORIGINAL_200G,200g,,0,,,
71,FIBISCO_CHOCOMALLOWS_100G,100g,,0,,,
72,FIBISCO_JOLLY_26G,26g,,0,,,
73,GLICO_POCKY_CHOCOLATE_20G,20g,,0,,,
74,GLICO_POCKY_CHOCOLATE_40G,40g,,0,,,
75,GLICO_POCKY_COOKIES_AND_CREAM_40G,40g,,0,,,
76,GLICO_POCKY_DOUBLE_CHOCO_39G,39g,,0,,,
77,GLICO_POCKY_STRAWBERRY_20G,20g,,0,,,
78,GOLDEMBLEM_HIKERSBLENDTRAILMIX_368G,368g,,0,,,
79,GOYA_CHOCOPRETZEL_TWISTS_CREAM_WHITE_21G,21g,,0,,,
80,GOYA_PRETZEL_TWISTS_GOYA_DARK_CHOCOLATE_21G,21g,,0,,,
81,GOYA_PRETZEL_TWISTS_MILK_CHOCOLATE_21G,21g,,0,,,
82,GRANDBISCO_CHOCO_COATED_PIE_WITH_MALLOW_18G,18g,,0,,,
83,GRANDBISCO_CHOCOLATE_CHIP_COOKIES_40G,40g,,0,,,
84,GRANDBISCO_UBE_FILLED_CRACKERS_30G,30g,,0,,,
85,GRANDBISCO_WHITE_CHOCO_FILLED_CRACKERS_30G,30g,,0,,,
86,GROWERS_GLAZED_PILI_NUTS_80G,80g,,0,,,
87,GROWERS_SAVOURY_HOT_80G,80g,,0,,,
88,HAPPYFLAKES_ROUND_CRACKERS_32G,32g,,0,,,
89,HEINEKEN_330ML,330ml,,0,,,
90,HOKKAIDO_MACKAREL_200G,200g,,0,,,
91,HOUSEOFPOLVORON_SOFTCOOKIES_WITHSTEVIA_18PCS,234g,,0,,,
92,HUNTS_PORK&BEANS_175G,175g,,0,,,
93,INDOMIE_MI_GORENG_85G,85g,,0,,,
94,JACK_AND_JILL_PIATTOS_SOUR_CREAM_FLAVORED_POTATO_40G,40g,,0,,,
95,JACK_DANIELS_700ML,700ml,,0,,,
96,JACKNJILL_CHOCOLATE_PRETZELS_40G,40g,,0,,,
97,JACKNJILL_MRCHIPS_NACHOCHEESE_24G,24g,,0,,,
98,JACKNJILL_PICA_BBQOVERLOAD_180G,180g,,0,,,
99,JACKNJILL_VCUT_POTATOCHIPS_CHEESE_25G,25g,,0,,,
100,JACKNJILL_VCUT_POTATOCHIPS_SPICY_BBQ_25G,25g,,0,,,
101,JIN_RAMEN_MILD_120G,120ml,,0,,,
102,JOLLYTIME_BUTTERLICIOUS_ORIGINALBUTTER_298G,298g,,0,,,
103,KANGKONGKING_ORIGINAL_60G,60g,,0,,,
104,KAROKE_GREEN_PEAS_SNACK_70G,70g,,0,,,
105,KELLOGG'S_COCO_POPS_30G,30g,,0,,,
106,KELLOGG'S_FROOT_LOOPS_25G,25g,,0,,,
107,KELLOGG'S_FROSTIES_30G,30g,,0,,,
108,KINDER_TRONKY_5x18G,90g,,0,,,
109,KING_CUP_SARDINES_IN_TOMATO_SAUCE_155G,155g,,0,,,
110,KING_CUP_SARDINES_IN_TOMATO_SAUCE_WITH_CHILI_155G,155g,,0,,,
111,LE_MINERALE_600ML,600ml,,0,,,
112,LEMONSQUARE_LAVACAKE_ORIGINAL_42G,42g,,0,,,
113,LEMONSQUARE_MAMON_CHEESY_264G,264g,,0,,,
114,LESLIE_S_CHEEZY_CORN_CRUNCH_24G,24g,,0,,,
115,LESLIE_S_CHEEZY_CORN_CRUNCH_70G,70g,,0,,,
116,LESLIE_S_CLOVER_CHIPS_CHEESE_24G,24g,,0,,,
117,LESLIES_CLOVERCHIPS_CHEESE_85G,85g,,0,,,
118,LESLIES_CLOVERCHIPS_HAMANDCHEESE_85G,85g,,0,,,
119,LIBBYS_VIENNA_SAUSAGE_130G,130g,,0,,,
120,LIGO_SARDINES_IN_TOMATO_SAUCE_CHILI_ADDED_155G,155g,,0,,,
121,LINDT_HELLO_CARAMEL_BROWNIE_100G,100g,,0,,,
122,LINDT_HELLO_COOKIES_AND_CREAM_100G,100g,,0,,,
123,LINDT_HELLO_CRUNCHY_NOUGAT_100G,100g,,0,,,
124,LINDT_HELLO_STRAWBERRY_CHEESECAKE_100G,100g,,0,,,
125,LOADED_CHOCOLATE_FILLED_SNACK_30G,30g,,0,,,
126,LOADED_WHITE_CHOCO_FILLED_FLAVOR_65G,65g,,0,,,
127,LOTTE_PEPERO_CHOCO_FILLED_40G,40g,,0,,,
128,LOTTE_PEPERO_CRUNCHY_40G,40g,,0,,,
129,LOTTE_PEPERO_DOUBLE_CHOCO_FILLED_40G,40g,,0,,,
130,LOTTE_PEPERO_WHITE_COOKIE_32G,32g,,0,,,
131,LUCKY_7_CARNE_NORTE_150G,150g,,0,,,
132,LUCKY_ME_PANCIT_CANTON_CHILIMANSI_80G,80g,,0,,,
133,M&M'S_MILK_CHOCOLATE_87.9G,87.9g,129.95,2.29,,,
134,MAGNOLIA_CHEEZEE_160G,160g,,0,,,
135,MAGNOLIA_DAILYQUEZO_160G,160g,,0,,,
136,MAYA_CHAMPORADO_227G,227g,,0,,,
137,MEGA_SARDINES_IN_TOMATO_SAUCE_CHILI_ADDED_155G,155g,,0,,,
138,MEGA_SQUID_IN_SOY_SAUCE_155G,155g,,0,,,
139,MEGA_SQUID_IN_SOY_SAUCE_CHILI_ADDED_155G,155g,,0,,,
140,MEIJI_HELLO_PANDA_CARAMEL_43G,43g,,0,,,
141,MEIJI_HELLO_PANDA_CHOCOLATE_43G,43g,,0,,,
142,MEIJI_HELLO_PANDA_COCOA_BISCUIT_CHOCOLATE_43G,43g,,0,,,
143,MEIJI_HELLO_PANDA_STRAWBERRY_43G,43g,,0,,,
144,MILKIS_ORIGINAL_300ML,300ml,,0,,,
145,MINUTE_MAID_FRESH_800ML,800ml,,0,,,
146,MOUNTAIN_DEW_500ML,500ml,,0,,,
147,MOUNTAIN_DEW_ZERO_500ML,500ml,,0,,,
148,MY_SAN_FITA_SPREADZ_BACON_25G,25g,,0,,,
149,MY_SAN_FITA_SPREADZ_SPICY_TUNA_25G,25g,,0,,,
150,NAGARAYA_ADOBO_160G,160g,,0,,,
151,NAGARAYA_BARBEQUE_160G,160g,,0,,,
152,NATURE_SPRING_350ML,350ml,,0,,,
153,NATURE_SPRING_500ML,500ml,,0,,,
154,NATURE_SPRING_1L,1L,,0,,,
155,NESTLE_GOLD_CORN_FLAKES_275G,275g,,0,,,
156,NESTLE_HONEYSTARS_ORIGINAL_300G,300g,,0,,,
157,NESTLE_KOKOKRUNCH_CHOCOLATE_330G,330g,,0,,,
158,NISSIN_CUBEE_VANILLA_WAFER_25G,25g,,0,,,
159,NISSIN_CUP_NOODLES_CREAMY_SEAFOOD_45G,45g,,0,,,
160,NISSIN_CUP_NOODLES_SEAFOOD_40G,40g,,0,,,
161,NISSIN_CUP_NOODLES_SOTANGHON_30G,30g,,0,,,
162,NISSIN_CUP_NOODLES_SPICY_SEAFOOD_45G,45g,,0,,,
163,NUTRISNACK_MOBY_CARAMEL_25G,25g,,0,,,
164,NUTRISNACK_MOBY_CARAMEL_60G,60g,,0,,,
165,OATSIDE_BARISTA_BLEND_1L,1L,,0,,,
166,OATSIDE_CHOCOLATE_1L,1L,,0,,,
167,OISHI_PILLOWS_CHOCO-FILLED_CRACKERS_38G,38g,,0,,,
168,OISHI_POTATO_FRIES_50G,50g,,0,,,
169,OISHI_PRAWN_CRACKERS_30G,30g,,0,,,
170,OISHI_PRAWN_CRACKERS_90G,90g,,0,,,
171,OREO_WAFER_ROLL_3Ã—18G,54g,,0,,,
172,PASCUAL_GREEK_MANGO_250ML,250ml,,0,,,
173,PASCUAL_GREEK_PLAIN_250ML,250ml,,0,,,
174,PASCUAL_GREEK_STRAWBERRY_250ML,250ml,,0,,,
175,PEPSI_500ML,500ml,,0,,,
176,PEPSI_ZERO_SUGAR_LIME_500ML,500ml,,0,,,
177,PIKNIK_CHEDDARCHEESE_106G,106g,,0,,,
178,PIKNIK_CHEDDARCHEESE_241G,241g,,0,,,
179,PIKNIK_ORIGINAL_113G,113g,,0,,,
180,POCARI_SWEAT_500ML,500ml,,0,,,
181,POCKY_STRAWBERRY_PEACH_YOGURT_30G,30g,,0,,,
182,POPPLE_APPLE_FLAVORED_500ML,500ml,,0,,,
183,PRINGLES_CHEESY_CHEESE_134G,134g,,0,,,
184,PRINGLES_ORIGINAL_147G,147g,,0,,,
185,PUREFOODS_CHINESE_STYLE_LUNCHEON_MEAT_350G,350g,,0,,,
186,RC_COLA_500ML,500ml,,0,,,
187,REBISCO_HANSEL_CRACKERS_32G,32g,,0,,,
188,REDBULL_ENERGY_DRINK_150ML,150ml,,0,,,
189,REFRESH_500ML,500ml,,0,,,
190,RELISH_PIECES&STEMS_MUSHROOMS_115G,155g,,0,,,
191,REPUBLIC_BISCUIT_FROOTEES_GRAPE_JAM_32G,32g,,0,,,
192,REPUBLIC_BISCUIT_FROOTEES_MANGO_JAM_32G,32g,,0,,,
193,REPUBLIC_BISCUIT_FROOTEES_STRAWBERRY_JAM_32G,32g,,0,,,
194,RICHOCO_WAFER_CHOCOLATE_48G,48g,,0,,,
195,RITZ_ORIGINAL_3PACK,300g,,0,,,
196,ROYAL_290ML,290ml,,0,,,
197,ROYAL_TRU_ORANGE_500ML,500ml,,0,,,
198,SAN_MARINO_CHILI_CORNED_TUNA_100G,100g,,0,,,
199,SAN_MARINO_CHILI_CORNED_TUNA_85G,85g,,0,,,
200,SAN_MARINO_CORNED_TUNA_100G,100g,,0,,,
201,SAN_MARINO_CORNED_TUNA_150G,150g,,0,,,
202,SCHOGETTEN_ALPINE_MILK_100G,100g,,0,,,
203,SEAPOINT_CORNED_TUNA_150G,150g,,0,,,
204,SEAPOINT_MACKEREL_IN_NATURAL_OIL_155G,155g,,0,,,
205,SEAPOINT_SARDINES_CHUNKS_IN_TOMATO_SAUCE_155G,155g,,0,,,
206,SEAPOINT_SARDINES_IN_TOMATO_SAUCE_155G,155g,,0,,,
207,SEAPOINT_TUNA_FLAKES_IN_SPICY_OIL_150G,150g,,0,,,
208,SOLA_APPLE_GREEN_TEA_473ML,473ml,,0,,,
209,SOLA_ICED_TEA_LEMON_473ML,473ml,,0,,,
210,SOLA_ICED_TEA_RASPBERRY_473ML,473ml,,0,,,
211,SPRITE_LEMON_LIME_DRINK_290ML,290ml,,0,,,
212,SPRITE_LEMON_LIME_DRINK_500ML,500ml,,0,,,
213,STAR_NUTRIMEATS_BEEF_LOAF_150G,150g,,0,,,
214,STAR_NUTRIMEATS_CORNED_BEEF_150G,150g,,0,,,
215,STAR_NUTRIMEATS_CORNED_BEEF_CHUNKY_CHEESE_150G,150g,,0,,,
216,STAR_NUTRIMEATS_MEAT_LOAF_150G,150g,,0,,,
217,STING_330ML,330ml,,0,,,
218,SUGO_CRACKER_NUTS_BBQ_30G,30g,,0,,,
219,SUGO_CRACKER_NUTS_BUTTER_30G,30g,,0,,,
220,SUGO_CRACKER_NUTS_GARLIC_30G,30g,,0,,,
221,SUGO_HONEYROASTEDPEANUTS_100G,100g,,0,,,
222,SUGO_SALTED_PEANUTS_100G,100g,,0,,,
223,SUMMIT_1L,1L,,0,,,
224,SUMMIT_500ML,500ml,,0,,,
225,SUNBEST_SHIITAKE_MUSHROOM_SLICES_284G,284g,,0,,,
226,SUPER_CRUNCH_SWEET_CORN_120G,120g,,0,,,
227,TOSTITOS_ORIGINAL_283G,283.5g,,0,,,
228,TWISTO_SUPER_APPLE_250ML,250ml,,0,,,
229,UFC_SHIITAKE_198G,198g,,0,,,
230,ULAM_KING_SAUCY_MECHADO_155G,155g,,0,,,
231,ULTRA_PURE_500ML,500ml,,0,,,
232,UNI-PAK_MACKEREL_FLAKES_IN_OIL_180G,180g,,0,,,
233,UNI-PAK_MACKEREL_FLAKES_IN_OIL_HOT&SPICY_180G,180g,,0,,,
234,UNIVERSAL_ROBINA_CALBEE_CHEDDAR_AND _SOUR_CREAM_170G,170g,,0,,,
235,VIT_SUNCOAST_APPLE_600ML,600ml,,0,,,
236,VITAMILK_300ML,300ml,,0,,,
237,VITAMILK_BANANA_300ML,300ml,,0,,,
238,VITAMILK_CHOCO_SHAKE_300ML,300ml,,0,,,
239,WAGI_CARNE_NORTE_150G,150g,,0,,,
240,WAGI_CORNED_BEEF_150G,150g,,0,,,
241,WAGI_VIENNA_SAUSAGE_150G,150g,,0,,,
242,WELCHS_GRAPE_JUICE_473ML,473ml,,0,,,
243,WHITEKING_CHAMPORADO_113G,113g,,0,,,
244,WILKINS_DISTILLED_1L,1L,,0,,,
245,WILKINS_PURE_1L,1L,,0,,,
246,WINNER_MEAT_LOAF_150G,150g,,0,,,
247,YOUNGSTOWN_SARDINES_TOMATOSAUCE_155G,155g,,0,,,
248,ZESTO_CALAMANSI_SODA_500ML,500ml,,0,,,
249,ZESTO_DALANDAN_SODA_500ML,500ml,,0,,,
250,ZESTO_ROOTBEER_500ML,500ml,,0,,,